customer_id,salary,debt,age,tenure,account_balance,country,churn
C0058,81057,73519,22,3,4931,FR,1
C0059,96511,4722,45,18,36210,FR,1
C0060,72795,5229,44,6,44699,FR,1
C0061,112416,13473,44,17,26632,PT,1
C0062,56029,21299,33,13,1624,FR,1
C0063,68540,53964,64,7,17485,FR,1
C0064,30075,61694,36,6,30166,DE,1
C0065,65001,29831,36,0,43255,FR,1
C0066,34099,36585,44,20,33384,IT,1
C0067,114065,70282,43,0,7559,DE,1
C0068,59795,5014,28,19,28479,DE,0
C0069,66114,57199,60,16,7578,IT,1
C0070,30817,57154,22,16,35287,FR,1
C0071,72739,56531,26,10,40839,DE,1
C0072,64363,66469,41,13,21376,IT,1
C0073,116384,38752,57,4,12572,IT,1
C0074,47810,74593,41,12,35909,ES,1
C0075,64829,37606,35,13,38009,PT,1
C0076,82954,28010,54,15,48231,FR,1
C0077,111356,11114,40,16,43506,PT,1
C0078,55784,40687,36,6,9656,ES,1
C0079,31057,32092,52,19,4772,IT,1
C0080,50485,50328,53,12,15989,FR,1
C0081,110990,726,70,3,27862,FR,0
C0082,92889,60889,25,17,16331,ES,0
C0083,84829,17477,51,16,36629,PT,1
C0084,83008,66162,49,17,29223,FR,1
C0085,87216,58991,38,7,41789,DE,1
C0086,107149,31358,39,14,5077,DE,1
C0087,55735,35614,43,10,35399,ES,1
C0088,115957,20028,67,6,4209,IT,1
C0089,78424,43369,56,14,27248,ES,1
C0090,101556,2560,70,18,24928,IT,0
C0091,25772,46105,41,12,27460,PT,1
C0092,104069,28906,53,7,17887,IT,1
C0093,88654,3804,46,10,43835,IT,1
C0094,41728,70008,23,12,38790,PT,1
C0095,111900,3552,27,20,28089,FR,0
C0096,59099,49689,42,6,29799,DE,1
C0097,69236,49692,39,13,16532,ES,1
C0098,31826,45870,36,20,4496,ES,1
C0099,29067,32411,34,0,40719,FR,1
C0100,39993,73920,35,14,45840,DE,1
C0101,73351,21992,60,19,49016,ES,1
C0102,65768,14168,59,0,20444,PT,1
C0103,113781,49192,47,6,4980,PT,1
C0104,38356,39529,65,19,7933,PT,1
C0105,30383,45508,56,13,43353,DE,1
C0106,26658,55057,53,3,28411,DE,1
C0107,108307,60258,67,4,28540,FR,1
C0108,60400,70539,52,14,28545,PT,1
C0109,60179,42245,37,2,18279,IT,1
C0110,104997,49674,43,0,32394,DE,1
C0111,48834,63904,35,11,16931,DE,1
C0112,61211,72848,22,16,12521,ES,1
C0113,56635,53271,53,17,49687,FR,1
C0114,89332,58743,23,2,19283,FR,1
C0115,78005,31890,41,18,24184,IT,1
C0116,97140,43357,44,14,17754,DE,1
C0117,57951,30217,29,6,20679,ES,1
C0118,115461,24267,34,6,48405,IT,1
C0119,61241,77278,70,16,39111,DE,1
C0120,63829,29816,45,5,19809,ES,1
C0121,117801,70010,30,8,2982,ES,1
C0122,41551,64340,28,0,37621,DE,1
C0123,86524,62746,50,10,12082,ES,1
C0124,39953,8564,47,15,4855,PT,0
C0125,107502,7026,31,4,36886,DE,0
C0126,98147,54548,60,19,40528,FR,1
C0127,93494,49856,50,14,19487,PT,1
C0128,106399,7894,61,3,49986,FR,1
C0129,106987,27659,38,2,10292,FR,1
C0130,25350,53545,50,19,30796,DE,1
C0131,29278,30340,40,9,46070,IT,1
C0132,59675,77304,64,6,27861,ES,1
C0133,96376,29466,63,4,17408,FR,1
C0134,65319,77993,69,18,18914,IT,1
C0135,41299,61433,66,9,45857,IT,1
C0136,89722,57377,27,19,2612,IT,1
C0137,67247,79129,38,0,5985,FR,1
C0138,100392,76955,23,8,37764,ES,1
C0139,47962,61669,55,20,28981,DE,1
C0140,108202,64451,27,15,22803,IT,1
C0141,68687,42081,64,3,10539,DE,1
C0142,111846,52488,70,17,2404,IT,1
C0143,36542,41224,38,10,7597,IT,1
C0144,25150,71118,51,13,3552,FR,1
C0145,92952,47419,61,15,40986,IT,1
C0146,96987,17172,40,14,45760,IT,1
C0147,40915,3783,62,19,15682,FR,1
C0148,78476,12217,36,3,30241,ES,1
C0149,109896,20181,53,9,33349,DE,1
C0150,86894,31946,51,17,9479,IT,1
C0151,49983,78561,54,4,4575,DE,1
C0152,69548,66550,39,0,18536,DE,1
C0153,101931,76011,64,15,9738,IT,1
C0154,97340,71228,46,14,21088,FR,1
C0155,116422,31300,58,12,15306,IT,0
C0156,117435,49968,46,20,9968,IT,1
C0157,29852,16547,54,18,21757,ES,1
C0158,93937,59890,22,4,26868,FR,1
C0159,34807,61537,38,10,40845,IT,1
C0160,113389,69942,46,10,41077,IT,1
C0161,95912,4705,61,2,15385,DE,0
C0162,81881,12903,70,20,46130,ES,1
C0163,83153,21805,66,9,1897,ES,1
C0164,71984,49131,49,4,16003,PT,1
C0165,79008,74177,65,5,11140,FR,1
C0166,106226,31566,53,18,9379,FR,1
C0167,85443,33289,51,8,43702,ES,1
C0168,62700,71643,32,2,28949,DE,1
C0169,102014,39210,62,13,45240,DE,1
C0170,75422,63335,28,7,24993,PT,1
C0171,72049,75341,40,9,1437,IT,1
C0172,114889,6428,60,15,18756,FR,0
C0173,104569,46179,36,20,12460,PT,1
C0174,111400,17927,62,3,41121,ES,0
C0175,65492,57779,24,18,23911,FR,1
C0176,79460,23021,34,4,35350,DE,1
C0177,94579,65771,39,5,16840,IT,1
C0178,69396,15095,51,2,9224,FR,1
C0179,113647,52089,57,11,5918,IT,1
C0180,84609,48311,65,8,38309,IT,1
C0181,108695,48689,28,7,30898,ES,1
C0182,67992,79964,36,20,4142,IT,1
C0183,116891,39608,63,13,7646,FR,1
C0184,89569,15220,28,7,35228,FR,1
C0185,75940,59459,45,17,27467,PT,1
C0186,79379,12978,53,19,26746,DE,1
C0187,29288,48566,35,14,29143,FR,1
C0188,114873,48147,56,20,23506,ES,1
C0189,77184,36160,34,3,29800,ES,1
C0190,103269,2799,25,10,15962,FR,1
C0191,99000,26896,26,17,13576,PT,1
C0192,68064,19340,60,0,18171,FR,0
C0193,42038,70807,38,5,7204,ES,1
C0194,56186,77182,42,0,11419,DE,1
C0195,31868,16614,69,13,34477,ES,1
C0196,72453,67271,59,3,29622,PT,1
C0197,54038,5683,68,16,19767,IT,1
C0198,87781,52640,49,3,32130,IT,1
C0199,34632,10589,42,19,9721,ES,1
C0200,101724,71874,67,10,24962,PT,1
C0201,94541,38652,51,16,39677,IT,1
C0202,110814,72264,68,6,28185,IT,1
C0203,54949,54239,43,14,26131,IT,1
C0204,65963,33408,45,4,45011,IT,1
C0205,33799,11957,27,2,28303,ES,1
C0206,42054,72924,25,18,36804,PT,1
C0207,68207,16021,48,11,43603,IT,1
C0208,62700,78696,41,11,6789,PT,1
C0209,91507,27884,31,15,14696,ES,1
C0210,40058,36512,58,7,28122,PT,1
C0211,106490,72972,23,19,43111,DE,1
C0212,65499,44541,44,0,11888,FR,1
C0213,99228,52531,26,4,48560,ES,1
C0214,74308,55028,51,10,10315,DE,1
C0215,65846,42517,58,19,5567,ES,1
C0216,31522,10693,39,14,43380,IT,1
C0217,88656,79570,50,13,17902,FR,1
C0218,81349,14534,40,18,31891,PT,1
C0219,112442,40425,24,7,25903,PT,1
C0220,52686,17987,70,8,18969,DE,1
C0221,40726,1013,53,13,11514,FR,1
C0222,90570,73233,64,11,4723,IT,1
C0223,30544,57176,23,14,5102,DE,1
C0224,117995,54747,40,3,26544,ES,1
C0225,67568,22527,61,14,45194,DE,0
C0226,56891,57104,59,12,34338,ES,1
C0227,76873,40668,69,10,14520,DE,1
C0228,107998,14945,55,16,12707,DE,1
C0229,71019,19358,37,3,9597,DE,1
C0230,110918,9876,33,20,32382,IT,0
C0231,98889,75952,50,18,42139,PT,1
C0232,66436,19786,50,2,30731,IT,0
C0233,107756,39691,39,18,3681,DE,1
C0234,84233,4929,25,11,18813,ES,1
C0235,109497,11835,61,19,33231,IT,1
C0236,30376,58947,58,20,12336,DE,1
C0237,104299,62341,54,4,4054,IT,1
C0238,70015,11053,54,20,11308,ES,0
C0239,57472,57377,50,16,34258,PT,1
C0240,62079,50779,48,10,44492,PT,1
C0241,31863,43863,26,10,6193,PT,1
C0242,119861,78997,31,10,5341,PT,1
C0243,111980,18537,44,9,42995,IT,0
C0244,36104,40577,57,12,42171,DE,1
C0245,41750,68995,27,20,43939,IT,1
C0246,65483,23627,35,10,31868,FR,1
C0247,54693,18030,31,2,19385,ES,1
C0248,94013,4947,64,10,40503,FR,1
C0249,103282,49377,31,5,11851,PT,1
C0250,82366,5726,48,11,44326,FR,1
C0251,83222,37346,70,14,15335,PT,1
C0252,86474,25430,45,18,28874,IT,0
C0253,61932,50052,54,16,27437,FR,1
C0254,43140,32768,25,20,31495,DE,1
C0255,97684,13446,67,16,8170,DE,1
C0256,83893,67286,31,13,6010,FR,1
C0257,84130,45820,23,13,3490,IT,1
C0258,35696,49140,36,0,20885,ES,1
C0259,118677,43947,31,4,2510,DE,1
C0260,43191,61487,50,19,344,ES,1
C0261,27490,33544,35,4,35966,PT,1
C0262,62762,31147,41,3,3129,FR,1
C0263,80027,59914,26,3,32756,PT,1
C0264,100372,31711,67,4,19088,IT,1
C0265,25205,46244,37,18,27300,FR,1
C0266,72265,8870,55,17,33248,PT,1
C0267,97633,2665,46,15,2853,IT,0
C0268,27128,46805,26,11,15802,ES,1
C0269,101271,43583,30,1,23088,PT,1
C0270,114742,60899,66,15,41401,FR,1
C0271,42675,8270,67,14,2423,DE,1
C0272,30492,41365,41,16,26098,PT,1
C0273,87049,33202,24,20,12524,DE,1
C0274,110948,43506,39,3,24118,IT,1
C0275,77431,57637,46,10,12243,IT,1
C0276,93062,34959,27,13,5172,IT,1
C0277,103964,23652,56,9,21050,ES,0
C0278,65173,58447,60,13,10921,IT,1
C0279,71077,58606,24,11,40294,IT,1
C0280,32518,9835,64,20,26621,DE,0
C0281,92251,20969,23,4,39817,IT,1
C0282,109562,48015,45,12,37174,ES,1
C0283,104310,20111,65,14,24311,DE,1
C0284,43047,69397,45,12,20603,DE,1
C0285,57717,14869,23,5,32705,PT,1
C0286,59311,34116,67,14,14062,PT,1
C0287,62431,64382,34,3,8895,ES,1
C0288,83341,11506,65,10,43767,DE,1
C0289,118000,8511,57,17,19029,DE,0
C0290,116779,22818,45,16,14695,ES,1
C0291,51342,18202,37,15,1722,DE,1
C0292,97305,17009,61,2,4308,DE,1
C0293,77187,62739,55,13,26832,PT,1
C0294,109192,9720,50,14,44571,PT,0
C0295,70156,16821,57,20,38521,FR,1
C0296,90911,7263,29,16,10028,DE,1
C0297,46581,21229,42,7,22676,PT,1
C0298,57847,25729,62,17,17986,FR,1
C0299,106922,39691,61,17,6122,PT,1
C0300,101106,20210,32,19,47227,PT,1
C0301,69252,73874,24,0,5323,ES,1
C0302,59688,27631,58,13,40508,ES,1
C0303,90278,71509,40,20,19798,IT,1
C0304,78227,38985,51,2,45128,ES,1
C0305,45719,57619,48,15,30437,FR,1
C0306,119157,41853,68,11,26130,FR,1
C0307,73567,67499,57,3,20913,FR,1
C0308,57495,18465,28,1,19019,IT,1
C0309,105658,54805,37,5,21458,PT,1
C0310,45885,65308,54,14,32686,DE,1
C0311,90191,3037,27,12,33124,IT,0
C0312,71254,6377,25,9,32433,PT,1
C0313,110755,61680,40,17,535,ES,1
C0314,72943,52855,45,1,26252,ES,1
C0315,99747,73638,34,11,36256,DE,1
C0316,97070,36663,61,19,7786,FR,1
C0317,37672,51629,45,10,36558,DE,1
C0318,91731,52610,54,1,2969,ES,1
C0319,42961,43652,52,16,29949,FR,1
C0320,67987,41750,32,12,40402,DE,1
C0321,102820,44089,54,16,34887,IT,1
C0322,27180,48281,43,3,27298,PT,1
C0323,65327,3492,60,15,17401,PT,1
C0324,101483,62973,32,16,41223,PT,1
C0325,74832,19369,65,7,2069,PT,1
C0326,27482,57807,42,13,9924,IT,1
C0327,115505,26724,48,16,40073,IT,0
C0328,33163,18098,55,6,36758,DE,1
C0329,111799,62701,55,12,20562,FR,1
C0330,96601,46437,65,20,45436,DE,1
C0331,104963,63462,34,7,18284,PT,1
C0332,64008,37880,67,6,45235,IT,1
C0333,66555,62888,44,17,47294,DE,1
C0334,96197,49767,47,11,9599,DE,1
C0335,30513,37700,67,2,22699,IT,1
C0336,53047,26485,56,8,36832,DE,1
C0337,42992,14316,61,18,15681,FR,0
C0338,54579,30518,25,3,27086,DE,1
C0339,119025,61918,28,4,339,PT,1
C0340,110575,62350,52,20,13071,DE,1
C0341,67096,37409,63,1,5862,PT,1
C0342,29888,22946,48,5,2381,IT,1
C0343,89930,24420,69,9,2455,ES,1
C0344,68914,37298,51,20,35605,PT,1
C0345,89738,17589,54,14,17880,FR,1
C0346,85150,33720,67,5,923,DE,1
C0347,63669,74420,65,6,11501,PT,1
C0348,81059,67538,42,2,26269,ES,1
C0349,49219,18430,52,10,16256,ES,1
C0350,59995,43204,41,18,47374,PT,1
C0351,26498,34282,63,11,45401,FR,1
C0352,65213,20934,47,16,46108,DE,1
C0353,115477,15389,62,9,24087,PT,1
C0354,87676,20078,51,19,24485,IT,0
C0355,117004,71989,52,17,43522,FR,1
C0356,103094,10730,55,14,34614,DE,1
C0357,35237,73946,29,1,35890,PT,1
C0358,46566,43007,55,14,7617,FR,1
C0359,118967,76434,53,2,33447,IT,1
C0360,92272,54450,51,18,3783,PT,1
C0361,85604,40392,68,0,25948,DE,1
C0362,100800,9572,24,13,22579,ES,1
C0363,95931,7897,26,15,2079,DE,1
C0364,109085,55097,45,12,29395,IT,1
C0365,74236,10518,65,17,8715,DE,0
C0366,76518,69316,30,7,227,ES,1
C0367,64107,60686,65,17,27795,PT,1
C0368,85375,45371,31,8,12352,ES,1
C0369,29222,54950,61,0,15772,FR,1
C0370,83515,78352,65,1,16038,ES,1
C0371,77725,57535,36,17,14238,ES,1
C0372,55692,75511,42,18,39185,DE,1
C0373,56051,39552,31,16,14486,IT,1
C0374,102550,22955,62,13,36428,IT,1
C0375,31145,45143,63,12,34371,DE,1
C0376,64306,49343,33,17,31032,FR,1
C0377,54536,39418,67,4,30344,ES,1
C0378,98044,69467,30,12,15915,DE,1
C0379,51651,43288,63,2,29477,DE,1
C0380,49966,6755,39,12,44149,PT,1
C0381,104026,5183,26,6,49918,PT,1
C0382,87835,27379,43,9,1004,FR,1
C0383,49906,15376,69,15,15898,PT,1
C0384,56369,72362,42,9,24947,IT,1
C0385,94946,47088,41,8,23569,PT,1
C0386,119688,61537,70,10,13312,DE,1
C0387,66015,54254,24,18,14501,FR,1
C0388,101550,75909,68,13,19345,FR,1
C0389,50715,43236,36,12,37341,FR,1
C0390,114764,44245,38,15,47419,IT,1
C0391,85401,22050,68,11,11092,FR,1
C0392,96058,7698,55,1,4871,ES,1
C0393,25836,54053,30,20,15167,ES,1
C0394,91287,59770,45,1,40490,PT,1
C0395,88334,63944,23,0,34879,PT,1
C0396,119659,36010,56,9,1123,PT,1
C0397,116469,56436,33,3,6312,PT,1
C0398,94003,33084,44,8,26011,ES,1
C0399,73896,53218,51,18,15938,FR,1
C0400,35566,4152,27,12,24855,IT,0
